uuid,SD1,SD2,sampen,higuci,datasetId,sd_ratio,sd_product,log_sampen,SD1_z,SD2_z,sampen_z,higuci_z,sd_ratio_z,sd_product_z
a99549ad-3eb6-4413-bc90-9053e7f7e684,14.542096016509682,77.11890271734825,2.186132222864933,1.290614996903511,2,5.303149052914721,1121.4704880035476,0.782133874139646,1.3456675144971912,-0.7041176974323471,0.590688264581251,1.7278996022793824,-0.9104326500639285,-0.43520833517870156
cb573d3a-c767-4556-b32e-ad8c08ded214,9.799335904098802,125.0443769121519,2.051571157068167,1.226663305986146,2,12.760495010672015,1225.3518522809134,0.7186059176839888,-0.2742420661452854,-0.26217326420045645,-0.05802795033868092,0.7044862490307348,-0.1873374599392514,-0.3580990240791256
b48d3523-1ddc-4902-954f-7593cdabf96b,9.094055216802527,757.9726669333843,1.195261322977364,1.0545315052431241,2,83.34814874808818,6893.045285919267,0.17836484179220485,-0.5151336388401958,5.5743706429684785,-4.186280584790179,-2.050124002428784,6.657134177670269,3.848930208079958
e1916dc1-e0c0-4c8a-9ee9-17902c306d45,6.780271532257829,77.16589386077251,2.2005576776497984,1.1658219112298702,2,11.380944478941286,523.2057134054251,0.7887108180819664,-1.305416147188047,-0.7036843689239397,0.6602330944406578,-0.2691533049929682,-0.3211044005745804,-0.8792897635014119
e25d3614-5ece-45b6-ba78-e067fd730ba8,11.645806520912759,171.7096854465575,2.120864116779352,1.155514561690093,2,14.74433609541879,1999.6977744773978,0.7518236078910996,0.35642770665738804,0.16815055999376102,0.2760320266559402,-0.43410092411440365,0.005023998745645769,0.21668434566861458
9bec69dc-79ce-4e13-a5d2-a0f56d3e66f4,9.901670737515424,124.8170428702211,2.071095766503956,1.1397237316914228,2,12.605654760596575,1235.8972609312764,0.7280778230169346,-0.23928917517969736,-0.26426962351673666,0.03609980241043165,-0.6868002045822216,-0.2023514127183611,-0.35027135256220293
bd66641e-4034-473d-9298-fff9b0878fab,12.67465516687783,449.914189867869,1.9012170179694632,1.132229216333691,2,35.49715427711294,5702.507211260439,0.6424942168903168,0.7078352708452925,2.733611498977367,-0.7828822567171033,-0.8067342826840921,2.017303312823216,2.9652147176899253
d7a7341c-edf1-4da4-b29b-31adabba901d,9.914619035718989,169.3904908887489,1.733125604485819,1.209946215509973,2,17.084921798658403,1679.4421854353739,0.5499264861715843,-0.23486662969651287,0.14676412320569607,-1.5932476092057992,0.4369641026204383,0.2319768950809175,-0.0210357499289363
67d673bb-a668-4d52-8a3f-3659da5729bd,10.383052224009269,143.3074413812245,1.881647683362437,1.2726514738614851,2,13.802053412564687,1487.968647950401,0.6321478203241335,-0.07487131228278922,-0.09376053983064943,-0.8772256286248844,1.4404309038151928,-0.08634363788663525,-0.16316319186206127
1bbc51ab-75be-4a20-9eb3-74b381f5e34a,15.228029341719038,177.8297983984174,2.217993809068934,1.1452319868248078,2,11.677794572619522,2707.9973878430815,0.7966030977019778,1.579950914638161,0.22458713981414694,0.7442923363178873,-0.5986520762725156,-0.29232058443641296,0.7424427010642614
aa1a87d0-866b-4a14-a1e5-a45a22fd2684,9.134683991237244,139.19622990122932,1.911878118900991,1.174350913690638,2,15.238209667105947,1271.5135729193385,0.6480860672527188,-0.5012567107652685,-0.13167204843748367,-0.7314853017195432,-0.13266441966358536,0.05291202837972712,-0.32383399009193137
b8283265-f172-4f7a-9fd3-3ed69c67439e,14.797309384305489,80.16905610090076,2.1864172765519743,1.2907832578471101,2,5.41781306444337,1186.286326172772,0.7822642574263226,1.4328367091858736,-0.6759907288209316,0.5920625027222132,1.7305922675402912,-0.8993143519875841,-0.3870966775744948
312878f3-c080-47f0-be4f-20e2045190dd,13.338264654668212,108.9361804211339,2.00300609182539,1.2416079792807118,2,8.167192902639528,1453.0196049257695,0.6946490980297253,0.9344938708161941,-0.4107148882159942,-0.2921591614366758,0.9436445572818782,-0.6327230810331533,-0.18910525230731434
e1273b45-70f1-4608-aa88-8b6c99fbc1b8,8.447972741297187,95.89584178538998,2.144899260630254,1.195448931005066,2,11.35134365628471,810.1254574067223,0.7630925865359619,-0.735805814356215,-0.5309662819549558,0.39190497587560874,0.2049653182984145,-0.32397461909574726,-0.6663142798358852
5e7eb9a7-b54f-4109-a8b4-6566d7be61d6,12.134737390705721,593.7539526556818,1.5867008165477843,1.1085900522318128,2,48.930103185459274,7205.048290170217,0.46165690237791956,0.5234240930394249,4.06002888992646,-2.299158591993946,-1.1850297718957619,3.319817746220499,4.0805245550174165
adfff319-dc21-4b7d-bba5-9ef5e2667501,7.617177952821161,57.05282518207157,2.193729690905469,1.154865005228045,2,7.490021309130767,434.58152212303554,0.7856031504822774,-1.0195672540036524,-0.8891568944879404,0.6273155065033362,-0.4444957197392444,-0.698384447010937,-0.9450739432152615
